ASML,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
PEP,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
LIN,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ARM,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
SNY,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ADP,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
NXPI,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
FAST,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
FER,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
RYAAY,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ICLR,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ARGX,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
STX,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
BNTX,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ERIC,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
LI,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
WBD,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
GMAB,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
TPG,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
HST,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
NXT,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
PPC,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ALTR,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ASND,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
JAZZ,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
FIVE,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
GRFS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ACT,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ALKS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
TIGO,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
CAR,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
MRUS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ABCB,"['nasdaq_symbols_sorted.csv', 'nyse_symbols_sorted.csv']"
CMPR,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
CRTO,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv', 'largest_companies_EU.csv']"
SBLK,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
VEON,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
GDS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
GLPG,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
NAMS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
PSNY,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
AVDL,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
EVO,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv', 'largest_companies_EU.csv']"
MRX,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
CASH,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
PRTA,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
IMTX,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
CALT,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
PHVS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ADV,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
NN,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ABVX,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
CVAC,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
SBSI,"['nasdaq_symbols_sorted.csv', 'nyse_symbols_sorted.csv']"
NVTS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
GHRS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
CVLG,"['nasdaq_symbols_sorted.csv', 'nyse_symbols_sorted.csv']"
OTLY,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
PHAR,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ADSE,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
VALN,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
TRST,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
GDEV,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
RWAY,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
LILM,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ALNT,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
PAL,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
AMRN,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
PROC,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
MTLS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
BWB,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
EM,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
GASS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
SBT,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ESEA,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
OMER,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
QURE,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
NYXH,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ATAI,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
NBTX,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
SHIP,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
CBAN,"['nasdaq_symbols_sorted.csv', 'nyse_symbols_sorted.csv']"
GNFT,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
EDAP,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
SHMD,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
IPHA,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
APPS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
CLLS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
WAVE,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
TRVG,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
IVA,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
PRQR,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
DSY,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
AFMD,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
IMPP,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
MYNA,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
DBVT,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
TOP,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
LRE,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
IFRX,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
IOBT,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
BNR,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
MDXH,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
TORO,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
LVTX,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
GNTA,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
SYT,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
MURA,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
FLUX,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
PXS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ASPS,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
CARM,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
SNT,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
RAND,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ICAD,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
NEON,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
GMM,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
PSHG,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
TRIB,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
MRM,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
APM,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ITRM,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
OP,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
MYNZ,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
TURB,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
ENG,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
NXU,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
VIRI,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
NEXI,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
BREA,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
BON,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
RENE,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
MLEC,"['nasdaq_symbols_sorted.csv', 'largest_companies_EU.csv']"
NVO,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
SAP,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
MRK,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
ACN,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
GE,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
ETN,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
TTE,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
COP,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
UBS,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv', 'largest_companies_EU.csv']"
MDT,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
RACE,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
BUD,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
TT,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
SPOT,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
BN,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
SAN,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
TRI,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
CRH,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
BDX,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
GM,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
SPG,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
BBVA,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
JCI,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
ING,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv', 'largest_companies_EU.csv']"
AMP,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
SU,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
NEM,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
E,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
BCS,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
COR,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
FLUT,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
LEN,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
DAL,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
NWG,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
IR,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
STLA,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
HEI,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
DB,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
RJF,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
SW,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv', 'largest_companies_EU.csv']"
VTR,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
PHM,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
EQT,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
TEF,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
DTE,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
RF,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
PHG,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
NOK,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
EL,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
ATO,"['nyse_symbols_sorted.csv', 'largest_companies_EU.csv']"
